,Latitude,Longitude,Measurement,Year,DensityClass
5011,-37.4152,-12.4744,0.001,2017,1
5012,24.2,-81.93,0.001056,2007,1
5013,40.28,-71.98,0.00108,1998,1
5014,16.24,-77.15,0.001152,1987,1
5015,24.22,-74.4,0.001168,1990,1
5016,13.12,-61.3,0.0012,1995,1
5017,26.46,-79.46,0.001236,1987,1
5018,24.11,-83.36,0.001272,2001,1
5019,40.71,-70.31,0.001272,2006,1
5020,11.52,-63.1,0.001348,1995,1
5021,10.78,-64.15,0.001348,1998,1
5022,24.24,-83.02,0.001348,2004,1
5023,40.33,-68.47,0.001348,2005,1
5024,39.48,-68.28,0.001356,2007,1
5025,-11.71,-141.93,0.001384,2002,1
5026,26.05,-55.98,0.001392,1992,1
5027,25.7,-76.18,0.001424,1987,1
5028,26.74,-82.75,0.00144,2000,1
5029,40.73,-69.98,0.001444,2008,1
5030,-7.92,-124.85,0.001448,2001,1
5031,19.03,-80.42,0.001456,2008,1
5032,-33.12218,114.44685,0.001528,2011,1
5033,10.64,-58.42,0.001532,2007,1
5034,18.7,-77.33,0.001544,1994,1
5035,24.2,-82.12,0.001544,1996,1
5036,41.37,-68.81,0.001544,2004,1
5037,20.36,-71.01,0.001544,2008,1
5038,2.19,-135.73,0.001544,2012,1
5039,17.76,-62.65,0.001572,2007,1
5040,17.29,-59.34,0.001596,2008,1
5041,19.3,-80.7,0.001596,2008,1
5042,4.41,-145.74,0.001596,2012,1
5043,25.68,-77.39,0.0016,1987,1
5044,43.28,-67.73,0.0016,1996,1
5045,11.44,-156.82,0.001616,2012,1
5046,42.82,-63.57,0.00166,1989,1
5047,26.85,-74.42,0.00166,1991,1
5048,25.28,-75.92,0.00166,1992,1
5049,15.0,-59.73,0.00166,1994,1
5050,29.35,-78.98,0.00166,1998,1
5051,12.43,-69.03,0.00166,1999,1
5052,42.19,-70.25,0.00166,2002,1
5053,41.88,-69.35,0.00166,2007,1
5054,58.510667,-6.996,0.001717,2014,1
5055,16.43,-63.6,0.001728,1987,1
5056,43.63,-60.85,0.001728,1996,1
5057,21.82,-157.55,0.001728,2003,1
5058,18.7,-67.76,0.001728,2006,1
5059,17.47,-79.32,0.00174,2007,1
5060,24.38,-82.92,0.001776,2008,1
5061,57.734,-3.158667,0.001777,2014,1
5062,16.66,-59.06,0.001792,2005,1
5063,43.48,-65.22,0.0018,1989,1
5064,20.62,-68.15,0.0018,1991,1
5065,25.28,-75.92,0.0018,1992,1
5066,24.02,-80.88,0.0018,1997,1
5067,18.67,-64.98,0.0018,1999,1
5068,12.13,-62.2,0.0018,1999,1
5069,16.51,-69.6,0.0018,2001,1
5070,17.57,-74.14,0.0018,2001,1
5071,24.01,-81.6,0.0018,2003,1
5072,20.07,-72.4,0.0018,2006,1
5073,19.35,-68.92,0.0018,2006,1
5074,25.12,-79.95,0.0018,2007,1
5075,25.07,-83.89,0.0018,2007,1
5076,39.57,-71.94,0.0018,2008,1
5077,15.84,-60.55,0.0018,2008,1
5078,40.68,-128.9,0.001808,2012,1
5079,16.3,-77.18,0.00184,2008,1
5080,24.36,-56.41,0.001848,2005,1
5081,18.45,-76.28,0.001864,2001,1
5082,24.13,-83.69,0.001864,2007,1
5083,19.47,-156.98,0.001876,2003,1
5084,17.58,-75.42,0.00188,2003,1
5085,24.26,-81.85,0.00188,2007,1
5086,-39.318,163.56478,0.001889,2011,1
5087,43.44,-65.19,0.001964,1989,1
5088,43.44,-65.19,0.001964,1989,1
5089,12.17,-68.38,0.001964,1991,1
5090,16.98,-80.38,0.001964,1992,1
5091,41.6,-56.83,0.001964,1992,1
5092,22.6,-60.0,0.001964,1995,1
5093,15.4,-74.62,0.001964,1996,1
5094,41.45,-67.83,0.001964,1997,1
5095,26.18,-79.77,0.001964,1997,1
5096,42.36,-70.31,0.001964,1997,1
5097,24.55,-58.47,0.001964,1997,1
5098,34.3,-62.96,0.001964,1998,1
5099,23.68,-75.22,0.001964,1998,1
5100,42.82,-70.32,0.001964,1998,1
5101,26.13,-78.03,0.001964,1998,1
5102,36.53,-64.83,0.001964,1998,1
5103,24.76,-80.16,0.001964,1999,1
5104,28.07,-79.46,0.001964,1999,1
5105,23.85,-80.85,0.001964,2000,1
5106,16.21,-62.18,0.001964,2000,1
5107,14.86,-65.75,0.001964,2000,1
5108,42.84,-70.38,0.001964,2000,1
5109,23.91,-70.19,0.001964,2000,1
5110,20.02,-70.32,0.001964,2000,1
5111,29.15,-79.77,0.001964,2000,1
5112,30.32,-73.56,0.001964,2001,1
5113,20.42,-70.15,0.001964,2001,1
5114,28.98,-77.98,0.001964,2001,1
5115,24.63,-80.36,0.001964,2001,1
5116,13.46,-61.65,0.001964,2002,1
5117,10.61,-165.95,0.001964,2002,1
5118,13.37,-61.56,0.001964,2002,1
5119,17.46,-79.08,0.001964,2003,1
5120,18.76,-63.83,0.001964,2005,1
5121,20.63,-70.57,0.001964,2006,1
5122,-0.4,-152.9,0.001964,2012,1
5123,18.5,-79.88,0.001984,2008,1
5124,29.967,-144.933,0.002,1973,1
5125,30.367,-145.1,0.002,1973,1
5126,8.19,-145.47,0.002,2003,1
5127,59.393,-153.5072,0.002,2013,1
5128,39.3513,-76.1448,0.002,2013,1
5129,-62.4113,-59.7428,0.002,2013,1
5130,47.3421,-122.776,0.002,2014,1
5131,18.53,-41.32,0.002,2014,1
5132,16.4895,-47.2143,0.002,2014,1
5133,15.7117,-37.3467,0.002,2014,1
5134,15.1833,-52.2167,0.002,2014,1
5135,17.1,-29.9756,0.002,2014,1
5136,13.8725,-54.6413,0.002,2014,1
5137,14.9118,-58.6863,0.002,2014,1
